,id,city,street,housenumber,levels
294,29544321,Москва,3-я улица Соколиной Горы,12А,5
295,29544323,,3-я улица Соколиной Горы,14,5
296,29544324,,улица Уткина,38,5
297,29544326,,улица Уткина,37,5
298,29544327,,8-я улица Соколиной Горы,20,5
299,29544328,,8-я улица Соколиной Горы,24 к1,5
300,29544330,Москва,проспект Будённого,20 к2,5
301,29544333,,проспект Будённого,20 к4,14
302,29544334,Москва,проспект Будённого,20 к1,5
303,29544335,,улица Буракова,19,16
304,29544337,,улица Буракова,17/2,5
305,29544338,,улица Буракова,23,5
306,29544340,,проспект Будённого,30/8,9
307,29544342,Москва,5-я улица Соколиной Горы,12,7
308,29544343,,улица Уткина,44,5
309,29544345,,улица Уткина,45,5
310,29544347,,3-я улица Соколиной Горы,12,5
311,29544348,,улица Уткина,41А,5
312,29544349,,улица Уткина,41Б,5
313,29544350,,улица Уткина,39,5
314,29544351,,5-я улица Соколиной Горы,23 к2,5
315,29544352,,5-я улица Соколиной Горы,23 к3,5
316,29544353,,8-я улица Соколиной Горы,24 к2,5
317,29544355,,улица Бориса Жигулёнкова,25 к4,5
318,29544356,,улица Бориса Жигулёнкова,25 к3,5
319,29544357,,8-я улица Соколиной Горы,18 к2,5
320,29544360,Москва,проспект Будённого,35,4
321,29544364,,улица Буракова,9,12
322,29544365,,улица Буракова,11,12
323,29544366,,улица Буракова,11 к1,12
324,29544367,,5-я улица Соколиной Горы,5,5
325,29544368,,улица Буракова,21,5
326,29544369,,3-я улица Соколиной Горы,1,14
327,29544374,,5-я улица Соколиной Горы,6 к2,9
328,29544375,,5-я улица Соколиной Горы,6 к1,9
329,29544378,,10-я улица Соколиной Горы,6 к1,14
330,29544379,Москва,проспект Будённого,21,3
331,29544380,Москва,проспект Будённого,23,5
332,29544381,,9-я улица Соколиной Горы,1,9
333,29544383,Москва,проспект Будённого,19,7
334,29544384,Москва,проспект Будённого,16,5
335,29544388,,10-я улица Соколиной Горы,8 к2,16
336,29544392,Москва,улица Бориса Жигулёнкова,6,5
337,29544394,,улица Бориса Жигулёнкова,4,5
338,29544395,,улица Бориса Жигулёнкова,2,12
339,29544396,,10-я улица Соколиной Горы,12,5
340,29544397,,,,1
341,29544871,Москва,проспект Будённого,16 к169,5
342,29544872,,1-й Кирпичный переулок,26,5
343,29544873,,10-я улица Соколиной Горы,28,9
344,29544879,,улица Бориса Жигулёнкова,19,5
345,29544880,,Окружной проезд,24,8
346,29544881,,Кирпичная улица,50,5
347,29544882,,Кирпичная улица,51,5
348,29544883,,Кирпичная улица,47,5
349,29544885,,Окружной проезд,22/64,8
350,29544886,,Измайловское шоссе,62,8
351,29544887,,Окружной проезд,23,5
352,29544888,,Кирпичная улица,50А,2
353,29544897,,улица Буракова,5 к1,12
354,29544898,,улица Буракова,5 к2,12
355,29544900,,улица Буракова,1 к1,5
356,29544901,,улица Буракова,1 к2,5
357,29545114,,Окружной проезд,34 к1,16
358,29545115,,Окружной проезд,34 к2,16
359,29545121,,проспект Будённого,39 к3,5
360,29545122,,проспект Будённого,37 к2,5
361,29545123,,проспект Будённого,20А,2
362,29545132,,Гаражная улица,5,6
363,29545133,,Гаражная улица,3,5
364,29545134,,улица Уткина,45А,9
365,29545135,,Гаражная улица,3А,5
366,29601041,,Измайловское шоссе,15,8
367,29601043,,Измайловское шоссе,13,9
368,29601046,,Вельяминовская улица,6,12
369,29601051,,Щербаковская улица,16,12
370,29601058,,Щербаковская улица,26,12
371,29601062,Москва,Щербаковская улица,32/7,12
372,29601065,,Измайловское шоссе,29,9
373,29601067,,улица Ибрагимова,5А,9
374,29601070,,улица Ибрагимова,2,12
375,29601074,,Измайловское шоссе,45,12
376,29601077,,улица Ибрагимова,5 к1,12
377,29601078,,Измайловское шоссе,17 к2,16
378,29601081,,Измайловское шоссе,17 к1,16
379,29601083,,улица Благуша,6,5
380,29601110,,проспект Будённого,15А,4
381,29601113,,проспект Будённого,11,5
382,29601115,,проспект Будённого,11 к1,9
383,29601119,,Кирпичная улица,6,2
384,29601122,,Кирпичная улица,12,5
385,29601124,,Кирпичная улица,14,12
386,29601127,,Кирпичная улица,18 с1,4
387,29601131,,Кирпичная улица,21 к1,3
388,29601134,,Измайловское шоссе,40,2
389,29601137,,,,6
390,29601140,,Измайловское шоссе,40,3
391,29601143,,Вольная улица,25 с3,3
392,29601146,,Вольная улица,22,8
393,29601149,,1-й Кирпичный переулок,14,5
394,29601168,,Кирпичная улица,33,9
395,29601171,,Кирпичная улица,21 к3,3
396,29601176,,проспект Будённого,1/1 к1,9
397,30004016,Москва,Сыромятнический проезд,7/14,5
398,30004169,Москва,набережная Академика Туполева,1/7 с2,5
399,30004421,Москва,1-я Дубровская улица,2Б к2,12
400,30004465,Москва,1-я Дубровская улица,4А,5
401,30070521,,2-я улица Энтузиастов,3,6
402,30132500,,Зелёный проспект,8,14
403,30132501,,Перовская улица,33А,2
404,30132502,,Перовская улица,33 к2,12
405,30132506,,Зелёный проспект,6 к3,12
406,30132508,,Перовская улица,28,5
407,30132509,,Перовская улица,30/2,5
408,30132510,,Перовская улица,32,1
409,30132603,,улица Лазо,4 к2,5
410,30132604,,улица Лазо,4 к1,5
411,30132605,,улица Лазо,8 к2,5
412,30132606,,улица Лазо,8 к3,5
413,30132607,,улица Лазо,8 к1,5
414,30132609,,Перовская улица,27,2
415,30132610,,Перовская улица,25,12
416,30132611,,Зелёный проспект,4 к1,12
417,30132612,,Зелёный проспект,4 к2,12
418,30132675,,улица Плющева,5 к2,5
419,30132676,,Перовская улица,14,5
