index,id,levels,lat,lon
255,27487014,4,55.7270678,37.6699461
256,27487014,4,55.7273394,37.6697569
257,27487014,4,55.7274186,37.6702971
258,27487014,4,55.7275342,37.6702504
259,27555406,4,55.7277769,37.6703827
260,27555406,4,55.7278168,37.6707446
261,27555406,4,55.7278677,37.6707135
262,27555406,4,55.7279198,37.6707559
263,27555406,4,55.7279316,37.6708506
264,27555406,4,55.7281739,37.6706685
265,27555406,4,55.7281302,37.6704830
266,27555406,4,55.7279305,37.6706320
267,27555406,4,55.7278944,37.6703304
268,27555406,4,55.7277769,37.6703827
269,27555492,17,55.7322565,37.6689046
270,27555492,17,55.7321072,37.6686262
271,27555492,17,55.7320903,37.6686548
272,27555492,17,55.7320580,37.6685947
273,27555492,17,55.7320739,37.6685678
274,27555492,17,55.7319309,37.6683010
275,27555492,17,55.7318415,37.6684520
276,27555492,17,55.7319879,37.6687250
277,27555492,17,55.7320011,37.6687028
278,27555492,17,55.7320365,37.6687689
279,27555492,17,55.7320210,37.6687951
280,27555492,17,55.7321638,37.6690614
281,27555492,17,55.7322565,37.6689046
282,27555499,17,55.7324513,37.6674429
283,27555499,17,55.7323003,37.6677016
284,27555499,17,55.7322872,37.6676775
285,27555499,17,55.7322497,37.6677417
286,27555499,17,55.7322635,37.6677672
287,27555499,17,55.7321327,37.6679912
288,27555499,17,55.7321186,37.6679651
289,27555499,17,55.7320919,37.6680107
290,27555499,17,55.7320800,37.6680311
291,27555499,17,55.7320944,37.6680576
292,27555499,17,55.7319417,37.6683190
293,27555499,17,55.7318514,37.6681527
294,27555499,17,55.7320040,37.6678917
295,27555499,17,55.7320182,37.6679180
296,27555499,17,55.7320311,37.6678959
297,27555499,17,55.7320536,37.6678575
298,27555499,17,55.7320381,37.6678289
299,27555499,17,55.7321746,37.6675952
300,27555499,17,55.7321881,37.6676202
301,27555499,17,55.7322231,37.6675603
302,27555499,17,55.7322073,37.6675311
303,27555499,17,55.7323585,37.6672721
304,27555499,17,55.7324513,37.6674429
305,27555502,17,55.7323643,37.6669757
306,27555502,17,55.7324367,37.6668555
307,27555502,17,55.7319455,37.6659158
308,27555502,17,55.7318732,37.6660360
309,27555502,17,55.7323643,37.6669757
310,27555522,17,55.7318696,37.6660577
311,27555522,17,55.7314163,37.6663417
312,27555522,17,55.7313736,37.6661272
313,27555522,17,55.7318270,37.6658431
314,27555522,17,55.7318696,37.6660577
315,27555530,16,55.7325272,37.6667751
316,27555530,16,55.7328095,37.6673082
317,27555530,16,55.7325186,37.6677941
318,27555530,16,55.7322363,37.6672610
319,27555530,16,55.7325272,37.6667751
320,27555550,8,55.7314742,37.6710210
321,27555550,8,55.7310713,37.6719425
322,27555550,8,55.7309841,37.6718348
323,27555550,8,55.7313927,37.6709065
324,27555550,8,55.7314742,37.6710210
325,27555736,9,55.7343119,37.6817016
326,27555736,9,55.7342006,37.6817174
327,27555736,9,55.7341336,37.6802328
328,27555736,9,55.7342449,37.6802169
329,27555736,9,55.7343119,37.6817016
330,27558011,1,55.7583728,37.6571679
331,27558011,1,55.7583728,37.6571133
332,27558011,1,55.7583724,37.6567986
333,27558011,1,55.7580347,37.6567998
334,27558011,1,55.7580350,37.6571301
335,27558011,1,55.7580350,37.6571690
336,27558011,1,55.7583728,37.6571679
337,27560557,5,55.7283116,37.6680968
338,27560557,5,55.7283435,37.6682723
339,27560557,5,55.7283454,37.6682830
340,27560557,5,55.7282789,37.6683195
341,27560557,5,55.7282836,37.6683463
342,27560557,5,55.7282080,37.6683878
343,27560557,5,55.7282033,37.6683611
344,27560557,5,55.7281564,37.6683868
345,27560557,5,55.7281546,37.6683761
346,27560557,5,55.7277634,37.6685909
347,27560557,5,55.7277587,37.6685404
348,27560557,5,55.7277272,37.6685112
349,27560557,5,55.7276971,37.6685185
350,27560557,5,55.7276848,37.6683702
351,27560557,5,55.7276709,37.6683715
352,27560557,5,55.7276465,37.6680737
353,27560557,5,55.7276930,37.6680518
354,27560557,5,55.7276954,37.6680933
355,27560557,5,55.7277496,37.6680783
356,27560557,5,55.7277577,37.6681984
357,27560557,5,55.7277683,37.6683556
358,27560557,5,55.7277882,37.6683742
359,27560557,5,55.7278105,37.6683950
360,27560557,5,55.7278763,37.6683595
361,27560557,5,55.7280116,37.6682866
362,27560557,5,55.7281374,37.6682122
363,27560557,5,55.7281396,37.6682028
364,27560557,5,55.7282270,37.6681489
365,27560557,5,55.7283116,37.6680968
366,27563721,6,55.7277582,37.6708187
367,27563721,6,55.7273406,37.6711206
368,27563721,6,55.7272956,37.6709241
369,27563721,6,55.7277132,37.6706222
370,27563721,6,55.7277582,37.6708187
371,27563729,4,55.7266252,37.6700133
372,27563729,4,55.7266700,37.6702181
373,27563729,4,55.7263912,37.6704102
374,27563729,4,55.7265059,37.6709350
375,27563729,4,55.7263951,37.6710113
376,27563729,4,55.7262660,37.6704205
377,27563729,4,55.7263114,37.6702295
378,27563729,4,55.7266252,37.6700133
379,27563736,4,55.7266400,37.6704965
380,27563736,4,55.7267221,37.6708740
381,27563736,4,55.7267692,37.6708454
382,27563736,4,55.7267825,37.6708941
383,27563736,4,55.7268241,37.6709142
384,27563736,4,55.7268331,37.6709761
385,27563736,4,55.7272253,37.6706998
386,27563736,4,55.7272124,37.6706256
387,27563736,4,55.7272276,37.6705820
388,27563736,4,55.7272285,37.6705434
389,27563736,4,55.7272719,37.6705041
390,27563736,4,55.7271787,37.6701199
391,27563736,4,55.7270701,37.6701949
